#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h01 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
2475;42.7557;0.045;RCP2.6;H1;1.42;-1;-0.57;-0.02;
2476;42.7577;0.1425;RCP2.6;H1;1.36;0;-0.67;-0.01;
2477;42.7597;0.24;RCP2.6;H1;1.39;-2;-0.93;-0.01;
2478;42.7616;0.3374;RCP2.6;H1;1.39;-1;-1.07;-0.01;
2479;42.7634;0.4349;RCP2.6;H1;1.45;0;-1.17;0.01;
2480;42.765;0.5324;RCP2.6;H1;1.31;0;-0.74;0.02;
2481;42.7667;0.6299;RCP2.6;H1;1.32;2;-0.7;0.03;
2484;42.7709;0.9224;RCP2.6;H1;1.35;2;-0.77;0.04;
2485;42.7722;1.0199;RCP2.6;H1;0;0;0;0.05;
2486;42.7733;1.1174;RCP2.6;H1;1.34;2;-0.83;0.06;
2487;42.7744;1.2149;RCP2.6;H1;1.38;3;-0.27;0.07;
2488;42.7754;1.3125;RCP2.6;H1;1.4;4;-1.5;0.06;
2489;42.7763;1.41;RCP2.6;H1;1.39;2;-1.6;0.05;
2490;42.7771;1.5075;RCP2.6;H1;1.35;3;-1.46;0.06;
2491;42.7778;1.6051;RCP2.6;H1;1.39;2;-0.63;0.08;
2492;42.7784;1.7026;RCP2.6;H1;1.38;2;-0.8;0.08;
2493;42.779;1.8001;RCP2.6;H1;1.34;2;-1.14;0.07;
2494;42.7794;1.8977;RCP2.6;H1;1.37;1;-0.66;0.08;
2495;42.7798;1.9952;RCP2.6;H1;1.4;2;-0.53;0.1;
2496;42.78;2.0927;RCP2.6;H1;1.3;2;1.04;0.11;
2497;42.7802;2.1903;RCP2.6;H1;1.3;2;1.07;0.12;
2498;42.7803;2.2878;RCP2.6;H1;1.32;2;1.44;0.14;
2499;42.7803;2.3854;RCP2.6;H1;1.28;3;0.37;0.17;
2500;42.7802;2.4829;RCP2.6;H1;1.27;2;0.57;0.18;
2501;42.78;2.5804;RCP2.6;H1;1.3;1;0.3;0.14;
2502;42.7798;2.678;RCP2.6;H1;1.3;2;1;0.18;
2503;42.7794;2.7755;RCP2.6;H1;1.26;2;1.06;0.18;
2504;42.779;2.873;RCP2.6;H1;1.28;2;1.2;0.22;
2505;42.7784;2.9706;RCP2.6;H1;1.28;2;0.93;0.22;
2506;42.7778;3.0681;RCP2.6;H1;0;0;0;0.19;
2564;42.5894;8.7114;RCP2.6;H1;0;0;0;0.08;
2565;42.5835;8.8083;RCP2.6;H1;1.21;1;1.1;0.08;
2566;42.5776;8.9052;RCP2.6;H1;1.23;0;0.16;0.05;
2567;42.5716;9.002;RCP2.6;H1;1.27;0;-0.03;0.05;
2568;42.5654;9.0989;RCP2.6;H1;1.24;2;0.93;0.09;
2569;42.5592;9.1957;RCP2.6;H1;1.29;1;0.8;0.09;
2570;42.5529;9.2925;RCP2.6;H1;1.37;2;1.37;0.08;
2571;42.5465;9.3892;RCP2.6;H1;1.45;2;1.14;0.11;
2572;42.54;9.486;RCP2.6;H1;1.21;2;0.1;0.11;
